Bit Depth (MD) m,SWOB kips,DWOB kips,HKLD-96%,HKLD-97%,HKLD-98%,HKLD-99%
2065.4447060799585,4.303648354944891,6.194770430302637,117.13568144807081,126.10357830193367,135.93510363602002,146.71896455869893
2065.6943535679584,4.368492596231616,6.421043664022542,117.08727875962782,126.05170275309213,135.8794207825733,146.65910560419394
2065.9440010559583,4.439881190365406,6.72480961134589,117.03496995246131,125.99554154398338,135.8190361766181,146.59408849995737
2066.1936485439583,4.483593579601472,6.985856152967162,117.00676069384112,125.9649547052697,135.78584279154205,146.55803608410977
2066.443296031958,4.493510041179976,7.143157111969458,117.0053596920148,125.96299930792456,135.78327960915237,146.55480624327515
2066.692943519958,4.510370518171194,7.305125040626892,117.00299081398131,125.95972563077622,135.77901399871521,146.54945261543813
2066.942591007958,4.522609975912965,7.36559172036093,116.99940987464308,125.9554974250234,135.77407619334767,146.54373647473642
2067.192238495958,4.546589321522691,7.409591975493048,116.98968245107845,125.9445093387707,135.7617060397766,146.52985037920922
2067.441885983958,4.553749810084498,7.339798693930302,116.98455449669353,125.9390198919938,135.75582028808367,146.52352993432754
2067.691533471958,4.551335208935285,7.145319516681169,116.98198919225874,125.9365856011254,135.75352962768045,146.52139681722602
2067.941180959958,4.549461839269425,6.936226998479315,116.98201100788069,125.93668194962889,135.75370768674836,146.52166450179266
2068.1908284479578,4.545715077715706,6.856268437858742,116.98551304726595,125.940366977678,135.75759332567802,146.52577018387552
2068.4404759359577,4.527605671873334,6.733052158346387,117.00106110370204,125.95687066896568,135.77514468158614,146.54447068695836
2068.6901234239576,4.509496243808968,6.6268602655468465,117.0178652683505,125.97468470193434,135.79406583544792,146.5646062035289
2068.9397709119576,4.505187449133498,6.580148464164382,117.02372244856855,125.98079944183561,135.80046293860468,146.5713130211982
2069.1894183999575,4.502502276686598,6.499493151434065,117.02977909138642,125.98701876862842,135.80686061620227,146.57790632563993
2069.4390658879574,4.501690493349805,6.465003812353728,117.03054547628196,125.98780887810386,135.80767673498758,146.57875097313996
2069.6887133759574,4.499629795050605,6.4049726301002785,117.02913981647802,125.986440480746,135.80634918853258,146.57746823463071
2069.9383608639573,4.4783356052212815,6.224516781989354,117.03640845972001,125.99481045912967,135.81592656308985,146.5883699603921
2070.1880083519573,4.436783819925932,5.978225498318105,117.06210123866026,126.02272424838739,135.84627525091506,146.621389404445
2070.437655839957,4.391772499574017,5.675007907941056,117.09137489511363,126.05440802139753,135.88060124008507,146.65861354935646
2070.687303327957,4.382646984323896,5.489020235501686,117.09243437203541,126.05591842222003,135.88260598978613,146.66116053328605
2070.936950815957,4.392293453593482,5.455388382053035,117.07445699595168,126.03737817256504,135.8634486605789,146.64132635080895
2071.186598303957,4.392293485339188,5.542653972261665,117.06219408411033,126.02505329753355,135.85105585516374,146.62885903489968
2071.436245791957,4.396740971015764,5.918736661642547,117.04425019329878,126.00687247049292,135.83261527440635,146.6101335392528
2071.685893279957,4.409415649459996,6.342688879992725,117.01836970290437,125.98031300072041,135.8053114380264,146.5820132328239
2071.935540767957,4.414376081822099,6.635621459197213,117.00342116963333,125.96512360996876,135.78985799468126,146.5662701592995
2072.1851882559567,4.394122211812349,6.755029195436487,117.00747815049701,125.97033547111353,135.79633595365547,146.57413685729878
2072.4348357439567,4.35950755770997,6.485479197080218,117.0224784659912,125.98734729972007,135.81555300857613,146.5957727488766
2072.6844832319566,4.333980521971964,6.133013611110426,117.03415502682448,126.00051204575996,135.83034925537905,146.612358532575
2072.9341307199566,4.355045758903706,5.903550122060536,117.01918997422065,125.98445807291738,135.81310149684862,146.59380135171276
2073.1837782079565,4.407632455720672,5.906151329936913,116.98451099351156,125.9469430877185,135.77247739359865,146.54976696414616
2073.4334256959564,4.470161962240844,5.975426853654583,116.9413607152296,125.90042670732107,135.72227074794006,146.49551259384754
2073.6830731839564,4.517430117661034,6.00693446298884,116.90745913311463,125.8639962831725,135.6830679486266,146.45326887187065
2073.9327206719563,4.590384868115339,6.104150327035538,116.85221662475728,125.80484322334203,135.61962774248923,146.3851262428683
2074.1823681599562,4.942581938717499,6.559013149307583,116.58762295356468,125.52114713731802,135.3149896364555,146.0575175576467
2074.432015647956,6.10606041002838,7.70216689242566,115.71584520638196,124.58614284251317,134.31066993639317,144.9771681811409
2074.681663135956,8.003303559808506,9.884870945872928,114.29603761292684,123.06319164680895,132.67464217936288,143.21711064546304
2074.931310623956,8.579334898240191,10.874845345002829,113.86448841723373,122.60028363334835,132.17735542400206,142.68211503427852
2075.180958111956,7.302684289426723,9.570808113831363,114.82330209405691,123.62840088311732,133.28145033545266,143.86954722137702
2075.430605599956,5.407339789495799,6.793820331268599,116.24843587191913,125.15651087175618,134.92245337377275,145.63437875075311
2075.680253087956,4.330665109053819,4.753555238397885,117.06143256928118,126.02806264997125,135.85819921780129,146.64053685069018
2075.929900575956,4.240233268848388,4.318478634072731,117.1330990507113,126.10475201645976,135.94039518438862,146.72877281693215
2076.1795480639557,4.25434067867876,4.007913066267862,117.15076157035578,126.12377859832617,135.96091719071305,146.75093510274806
2076.4291955519557,3.590479284389176,3.182561454806094,118.01134769447165,127.04741754708978,136.95368109184972,147.8195197791304
2076.6788430399556,2.676060113210176,2.8172381920913456,119.1963061242763,128.3190533112416,138.3203414110797,149.29040925420153
2076.9284905279555,1.830623031913164,3.129778191456015,120.3637638595313,129.57146353193272,139.66588523113867,150.73810810602632
2077.1781380159555,1.7821545732670874,3.7921573019645796,120.56144867407893,129.7829308875058,139.89246241719567,150.98125874380807
2077.4277855039554,1.8605781153725758,3.9977923925729577,120.50588896837836,129.72309590838728,139.82794044628815,150.911595773322
2077.6774329919554,1.918063022892146,4.038780886916547,120.4661044730038,129.68019377505607,139.78162043950758,150.86152681908146
2077.9270804799553,2.194897687629258,4.350326259888765,120.26094355975758,129.4600600002689,139.5450718831989,150.60697345527961
2078.1767279679552,3.534184174864456,5.470698243296308,119.25702425614412,128.383513583996,138.38890420123917,149.36347195415385
2078.426375455955,5.462709585285686,7.564170894525517,117.8105069724031,126.83232372428873,136.72296156290776,147.57166095225492
2078.676022943955,6.089356049213001,9.079477030399675,117.34077679374859,126.32853916211693,136.18184310408844,146.98959223033123
2078.925670431955,5.15286092238141,8.906079554629285,118.04101591672762,127.0795577929627,136.98853142273072,147.8573427087508
2079.175317919955,4.160863345133641,7.303380617831011,118.78031402105638,127.8726893276537,137.84068066726508,148.77422644292946
2079.424965407955,4.247066867539037,6.5037661524222425,118.71239788146853,127.80009506648413,137.76295777096558,148.69087812370879
2079.674612895955,4.498432813351596,6.900741665720437,118.52384539052265,127.5979421654356,137.54589470997007,148.45746062271144
2079.924260383955,4.467615662905975,7.294654436566913,118.549672800883,127.62549285417506,137.57533463264235,148.48897278090058
2080.1739078719547,4.124072414904806,6.928768969447872,118.8082035207774,127.90269744525642,137.87301143037948,148.80910483576753
2080.4235553599547,3.803145510798916,5.92631004662765,119.04788600380034,128.15975529993935,138.14911794378907,149.10610516570011
2080.6732028479546,3.689930348911597,5.153187814100041,119.12886757380079,128.24682998537634,138.24287252527668,149.20718669468985
2080.9228503359545,3.995500818714961,5.109910529132223,118.89605215326561,127.9974037182952,137.97523575005766,148.91957544141
2081.1724978239545,4.6758259095302215,5.761705934324812,118.38279197644052,127.44727456563226,137.38468705690505,148.28469194888632
2081.4221453119544,5.142372219941939,6.307714488443807,118.03053761593013,127.06975403053798,136.9794671582293,147.84908957400685
2081.6717927999543,4.910536595550539,6.1165487946791375,118.20044481781343,127.25230252852292,137.17587433734136,148.06069786228227
2081.9214402879543,4.359354444166719,5.484937930899815,118.60997316191316,127.69174459384455,137.6481108819955,148.56890553981117
2082.171087775954,3.839860168945598,4.811134842493637,118.99645293753679,128.1063917421608,138.09363798385436,149.0483037972625
2082.420735263954,3.8029788861197966,4.64915619269865,119.02552427607026,128.13740274098527,138.12677543658444,149.08377368391277
2082.670382751954,3.8443392181945026,4.731486098382083,118.9971296931996,128.1067077923874,138.09355859190632,149.04779065843692
2082.920030239954,3.826578739142092,4.7707183488334275,119.01276028907102,128.12327680681813,138.1111563966978,149.06651690787882
